0.421837,0.422793,0.422793
0.433617,0.434631,0.434631
0.445497,0.446573,0.446573
0.457482,0.458621,0.458621
0.469575,0.470781,0.470781
0.48178,0.483055,0.483055
0.494101,0.495449,0.495449
0.506542,0.507966,0.507966
0.519108,0.520611,0.520611
0.531803,0.533388,0.533388
0.544631,0.546302,0.546302
0.557597,0.559359,0.559359
0.570706,0.572562,0.572562
0.583963,0.585917,0.585917
0.597373,0.59943,0.59943
0.610942,0.613105,0.613105
0.624675,0.62695,0.62695
0.638577,0.640969,0.640969
0.652655,0.655168,0.655168
0.666914,0.669556,0.669556
0.681362,0.684137,0.684137
0.696004,0.698919,0.698919
0.710849,0.713909,0.713909
0.725902,0.729115,0.729115
0.741171,0.744544,0.744544
0.756664,0.760204,0.760204
0.77239,0.776105,0.776105
0.788356,0.792254,0.792254
0.804571,0.808661,0.808661
0.821044,0.825336,0.825336
0.837785,0.842288,0.842288
0.854804,0.859529,0.859529
0.872111,0.877068,0.877068
0.889717,0.894918,0.894918
0.907633,0.91309,0.91309
0.925871,0.931596,0.931596
0.944443,0.950451,0.950451
0.963363,0.969668,0.969668
0.982643,0.989262,0.989262
1.0023,1.00925,1.00925
1.02235,1.02964,1.02964
1.0428,1.05046,1.05046
1.06367,1.07171,1.07171
1.08499,1.09343,1.09343
1.10676,1.11563,1.11563
1.12901,1.13833,1.13833
1.15175,1.16156,1.16156
1.17502,1.18532,1.18532
1.19883,1.20966,1.20966
1.2232,1.2346,1.2346
1.24816,1.26016,1.26016
1.27374,1.28637,1.28637
1.29996,1.31326,1.31326
1.32686,1.34087,1.34087
1.35447,1.36923,1.36923
1.38281,1.39838,1.39838
1.41193,1.42836,1.42836
1.44187,1.4592,1.4592
1.47266,1.49096,1.49096
1.50435,1.52368,1.52368
1.53698,1.55741,1.55741
1.5706,1.59221,1.59221
1.60527,1.62813,1.62813
1.64104,1.66524,1.66524
1.67797,1.70361,1.70361
1.71612,1.74332,1.74332
1.75557,1.78442,1.78442
1.79639,1.82703,1.82703
1.83866,1.87122,1.87122
1.88247,1.91709,1.91709
1.92791,1.96476,1.96476
1.97508,2.01434,2.01434
2.02409,2.06596,2.06596
2.07506,2.11975,2.11975
2.12811,2.17588,2.17588
2.1834,2.2345,2.2345
2.24107,2.2958,2.2958
2.3013,2.35998,2.35998
2.36426,2.42727,2.42727
2.43016,2.4979,2.4979
